id,source,target,node_type,metric_type,entity_type,entity_code,tons,usd,edge_count
1,1034,1047,ss,tons,c,1,13818500,NULL,15
2,1034,1041,ss,tons,c,1,14326700,NULL,15
3,1034,1043,ss,tons,c,1,3812760,NULL,15
4,1034,1001,ss,tons,c,1,62061.7,NULL,15
5,1047,1041,ss,tons,c,1,44145.1,NULL,15
6,1047,1043,ss,tons,c,1,652604,NULL,15
7,1041,1043,ss,tons,c,1,160131,NULL,15
8,1043,1001,ss,tons,c,1,1400520,NULL,15
9,1024,1028,ss,tons,c,1,6101120,NULL,15
10,1024,1050,ss,tons,c,1,16813600,NULL,15
11,1024,1016,ss,tons,c,1,4655760,NULL,15
12,1028,1016,ss,tons,c,1,8656300,NULL,15
13,1028,1017,ss,tons,c,1,6889590,NULL,15
14,1050,1016,ss,tons,c,1,245845,NULL,15
15,1016,1017,ss,tons,c,1,348811,NULL,15
16,1014,1019,ss,tons,c,2,114307000,NULL,24
17,1014,1024,ss,tons,c,2,790619,NULL,24
18,1014,1015,ss,tons,c,2,37191400,NULL,24
19,1014,1017,ss,tons,c,2,89387.9,NULL,24
20,1014,1016,ss,tons,c,2,8738140,NULL,24
21,1014,1026,ss,tons,c,2,27818900,NULL,24
22,1024,1015,ss,tons,c,2,427570,NULL,24
23,1024,1016,ss,tons,c,2,59787400,NULL,24
24,1024,1035,ss,tons,c,2,43965700,NULL,24
25,1024,1042,ss,tons,c,2,14841600,NULL,24
26,1015,1028,ss,tons,c,2,5274.57,NULL,24
27,1015,1017,ss,tons,c,2,38380.7,NULL,24
28,1015,1016,ss,tons,c,2,905867,NULL,24
29,1015,1026,ss,tons,c,2,353185,NULL,24
30,1017,1028,ss,tons,c,2,32080300,NULL,24
31,1017,1016,ss,tons,c,2,1587910,NULL,24
32,1017,1026,ss,tons,c,2,11861800,NULL,24
33,1016,1028,ss,tons,c,2,20324200,NULL,24
34,1016,1035,ss,tons,c,2,3490580,NULL,24
35,1016,1042,ss,tons,c,2,13638100,NULL,24
36,1016,1026,ss,tons,c,2,1900620,NULL,24
37,1026,1028,ss,tons,c,2,68260.2,NULL,24
38,1035,1042,ss,tons,c,2,24645600,NULL,24
39,1042,1028,ss,tons,c,2,21804600,NULL,24
40,1019,1005,ss,tons,c,3,429986,NULL,35
41,1005,1014,ss,tons,c,3,1280700,NULL,35
42,1005,1016,ss,tons,c,3,238619,NULL,35
43,1005,1048,ss,tons,c,3,4627650,NULL,35
44,1005,1024,ss,tons,c,3,3808750,NULL,35
45,1005,1015,ss,tons,c,3,403952,NULL,35
